237000000,19995,en,Avatar,150.437577,2787965087,162,Released,7.2,11800
300000000,285,hi,Dabangg,139.082615,961000000,101,Released,5.1,4500
245000000,206647,en,Spectre,107.376788,880674609,148,Released,6.3,4466
250000000,49026,hi,Koi Mil Gaya,112.31295,1084939099,104,Released,5.7,2100
260000000,49529,en,John Carter,43.926995,284139100,132,Released,6.1,2124
258000000,559,hi,Tiger Zinda Hai,115.699814,890871626,103,Released,5.9,2311
260000000,38757,en,Tangled,48.681969,591794936,100,Released,7.4,3330
280000000,99861,en,Avengers: Age of Ultron,134.279229,1405403694,141,Released,7.3,6767
250000000,767,en,Harry Potter and the Half-Blood Prince,98.885637,933959197,153,Released,7.4,5293
250000000,209112,en,Batman v Superman: Dawn of Justice,155.790452,873260194,151,Released,5.7,7004
270000000,1452,hi,October,57.925623,391081192,110,Released,5.4,1400
200000000,10764,en,Quantum of Solace,107.928811,586090727,106,Released,6.1,2965
200000000,58,en,Pirates of the Caribbean: Dead Man's Chest,145.847379,1065659812,151,Released,7,5246
255000000,57201,en,The Lone Ranger,49.046956,89289910,149,Released,5.9,2311
225000000,49521,en,Man of Steel,99.398009,662845518,143,Released,6.5,6359
225000000,2454,en,The Chronicles of Narnia: Prince Caspian,53.978602,419651413,150,Released,6.3,1630
220000000,24428,en,The Avengers,144.448633,1519557910,143,Released,7.4,11776
380000000,1865,en,Pirates of the Caribbean: On Stranger Tides,135.413856,1045713802,136,Released,6.4,4948
225000000,41154,hi,Baaghi,52.035179,624026776,106,Released,5.4,1400
250000000,122917,hi,Padmavat,120.965743,956019788,108,Released,5.2,1350
215000000,1930,hi,Murder,89.866276,752215857,102,Released,5.3,1375
200000000,20662,en,Robin Hood,37.668301,310669540,140,Released,5.5,1398
250000000,57158,en,The Hobbit: The Desolation of Smaug,94.370564,958400000,161,Released,7.6,4524
180000000,2268,hi,Dear Zindagi,42.990906,372234864,109,Released,5.1,1303
